QQQ,XLK,VGT,FDN,IYW,IXN,XT,IGV,QTEC,FTEC,FXL,KWEB,SKYY,HACK,RYT,IGM,ARKK,ROBO,SOXX,SMH,TDIV,CIBR,SOXL,PNQI,TECL,CQQQ,ARKW,XNTK,IPAY,EMQQ,PSCT,PSJ,ROM,XSD,PSI,IEUS,SOCL,XSW,PTF,SOXS,JHMT,ITEQ,PXQ,ISRA,IGN,USD,TECS,SSG,SCID,REW
0.0195809,0.01643543,0.021812935,0.03148312,0.021017414,0.024886248,0.015017328,0.008973789,0.03455987,0.022388812,0.022531293,0.051838611,0.013950727,0.042584983,0.022689809,0.025877084,0.075242718,0.049795615,0.038397942,0.047734139,0.015933495,0.051036683,0.119451545,0.035828308,0.054928354,0.038461538,0.04954955,0.01796513,-0.011881188,0.044049459,0.033539564,0.014644351,0.045374836,0.03363767,0.034112445,0.019312823,0.060363022,0.01393578,0.024444444,-0.139710145,0.023123324,-0.001171417,0.051114024,-0.010626993,0.048643113,0.073253389,-0.07079646,-0.082647719,0.014181349,-0.05248307
-0.014993261,-0.007285353,-0.00564831,-0.002696739,-0.003612838,-0.00543626,-0.042109256,-0.009950687,0.000393005,-0.00580674,-0.018770403,-0.033503277,0.008782201,-0.04836976,-0.007585095,-0.006710324,-0.102031603,-0.025840708,-0.014773531,-0.01600346,-0.022843505,-0.017703591,-0.049615944,-0.009018265,-0.026137065,-0.029188129,-0.034334764,0.000564338,-0.00761523,-0.04219097,-0.034971645,-0.031752577,-0.00859719,-0.042017233,-0.01802077,-0.049350077,-0.062898089,-0.032427261,-0.049650518,0.035040431,-0.01375696,-0.048084441,-0.038902743,-0.040458289,-0.018798828,-0.050439641,0.019047619,0.044435385,-0.041101695,0.004169148
0.004190183,0.000957146,0.004594437,-0.017699115,0.002867021,-0.007196866,0.04,-0.005425598,0.024749558,0.004653239,0.047407818,-0.046470736,0.005513639,0.020331325,0.031623197,0,0.010558069,0.02252907,0.070844931,0.04014652,0.019539428,0.024716787,0.212975098,-0.029720078,-0.005494505,-0.033855483,0.021010101,0.007742754,0.015347334,-0.056027821,0.10561541,0.023637138,0.002749577,0.078150427,0.099533437,-0.021320973,-0.022939677,0.030132272,0.02282526,-0.206380208,0.020923281,0.025051335,0.052153607,0.018283582,0.072157253,0.104278472,-0.015057113,-0.106167057,-0.028281043,-0.011862396
0.008175083,0.017386964,0.009812074,-0.001626627,0.01067855,0.009726555,0.019040366,-0.026918261,0.008625647,0.01010799,0.003176284,-0.083245522,-0.005194805,-0.022509225,0.004537877,0.007488198,-0.003482587,0.017768301,0.02850914,0.009719679,0.011293634,-0.020100503,0.02791284,-0.01863944,0.059711007,-0.069299163,-0.008310249,0.002336441,0.011535402,-0.060990585,0.027314336,-0.018722696,0.02404556,0.021129735,0.021216407,0.03599337,-0.057826087,-0.014770961,-0.007686586,-0.115668581,-0.000325309,-0.003205128,-0.003945746,-0.016489557,0.01253191,0.045943943,-0.071692145,-0.065502183,0.007730787,-0.032112845
0.052284821,0.037121457,0.043889987,0.069306931,0.047587354,0.047528172,0.042600897,0.077106884,0.069935386,0.04381726,0.038258575,0.094827586,0.058311575,0.071347678,0.044712824,0.048634674,0.111832252,0.062849162,0.041985977,0.04031808,0.035194585,0.063076923,0.121934128,0.088313574,0.111088831,0.086541163,0.100159617,0.062350389,0.037357452,0.102877071,0.025438344,0.039855841,0.095365602,0.038255731,0.04598338,0.0336,0.088601754,0.032047177,0.044477761,-0.128014842,0.045883501,0.049437299,0.024511018,0.026453055,0.013064405,0.037352669,-0.106189665,-0.044859813,0.025270758,-0.091162791
0.043506181,0.045348296,0.049144119,0.010314112,0.049634689,0.044070443,0.042293907,0.047610922,0.040319716,0.049158881,0.044218551,0.049606299,0.035361842,0.022551092,0.045005295,0.043913713,0.036371801,0.032194481,0.028558016,0.024138393,0.030402092,0.028461167,0.082292317,0.026345042,0.138242195,0.037755366,0.024301777,0.045012697,0.052312358,0.056126482,0.001822004,0.029153925,0.100319669,0.026316965,0.042372881,0.014816453,0.024586689,0.03396951,0.040191388,-0.088297872,0.045737399,0.024894676,0.023682939,0.03738657,0.043438914,0.043979505,-0.125794155,-0.047455969,0.014964789,-0.093824633
0.018153846,0.018001279,0.019172932,0.021461717,0.02224408,0.030909846,0.021320495,0.029890862,0.026293324,0.019378317,0.022389876,0.056514129,0.023298914,0.016540317,0.019591285,0.021328413,0.034662045,0.02068746,0.041001065,0.043734451,0.005393401,0.01641651,0.129418554,0.021119896,0.061994609,0.040617992,0.020892351,0.022016074,0.007564841,0.036302395,0.020844992,0.019611727,0.048534564,0.009698633,0.060213415,0.033340597,0.024410426,0.011324284,0.027368905,-0.129521587,0.022612318,0.061285501,0.036591124,0.015395381,-0.012575889,0.067619632,-0.066133721,-0.070364664,0.041196878,-0.050828313
0.027349652,0.01986637,0.023902619,0.047245883,0.022722226,0.027887483,0.024242424,0.033135627,0.018798869,0.023754517,0.015710545,0.059171598,0.017852523,-0.017966102,0.017806858,0.02601344,0.05360134,0.029934518,-0.00540738,-0.00025091,0.001893342,-0.014766959,-0.023888605,0.051548579,0.056584055,0.044779693,0.050641693,0.031682984,0.010725778,0.0718671,-0.00575579,0.038274723,0.044087686,-0.016221251,0.017733046,0.067482075,0.0726979,0.013271718,0.012984106,0.00536193,0.021239453,0.022183099,-0.007515372,0.021364576,-0.012077295,-0.018131807,-0.058365759,0.011049724,0.052894627,-0.045220151
0.038608619,0.039045214,0.044095396,0.026786683,0.043204516,0.047596644,0.042077581,0.060241886,0.060418027,0.044278269,0.049449262,0.063240223,0.019064565,0.046254746,0.039873057,0.044298894,0.124801272,0.046018771,0.087282345,0.078303426,0.014488189,0.018266979,0.26737338,0.050736332,0.11459658,0.027045611,0.160779135,0.039647795,0.041032897,0.071765499,0.021088904,0.056886228,0.085154543,0.086772975,0.064751589,0.043263532,0.073795181,0.048357814,0.053922652,-0.2408,0.041595442,0.032724767,0.021569527,0.02462888,0.005779062,0.170632072,-0.114876033,-0.157377049,0.051424051,-0.085168259
-0.026764852,-0.031083387,-0.027948382,0.000528095,-0.030731877,-0.020583832,-0.001577287,-0.0118403,-0.038805051,-0.027910849,-0.027690933,0.005254309,-0.015465203,-0.01121742,-0.023006495,-0.024952792,0.0204947,-0.009551375,-0.052503548,-0.046433143,-0.031356722,-0.010119595,-0.158612144,-0.011519631,-0.089249493,0.038607454,-0.002844141,-0.011730018,0.008834523,-0.005972964,-0.00161987,-0.012570822,-0.060202834,-0.043564998,-0.077399381,-0.023101685,-0.010869565,0.001587723,-0.037114699,0.133473832,-0.029540481,-0.015343562,-0.021338724,0.013170892,0.011712707,-0.111207767,0.075630252,0.101815824,-0.009029345,0.051316985
0.041542379,0.044456055,0.040962658,0.043597593,0.036358431,0.044860527,0.034439179,0.038576752,0.029477731,0.04119866,0.03628847,0.131089275,0.034709906,-0.024357691,0.037164598,0.042882833,0.024584488,0.054938632,0.048566538,0.04710764,0.016025641,-0.013475836,0.142734413,0.075167525,0.133212695,0.103137086,0.050199658,0.03583163,0.054563826,0.10974067,0.040832883,0.044109736,0.071483239,0.053865091,0.075023969,0.044388447,0.049273307,0.022741001,0.06511324,-0.143476914,0.032130778,0.009823848,0.01285288,-0.004549886,0.01310616,0.093997383,-0.125,-0.094761624,0.038344723,-0.071274298
0.020117351,0.028911713,0.031098684,0.016589116,0.034185083,0.027282036,0.024129505,0.037284559,0.026766262,0.031088886,0.03501773,0.036229205,0.014691479,0.01744186,0.018457024,0.021156652,0.153768165,0.017728532,0.028905666,0.032750583,0.013880126,0.013659915,0.074965095,-0.012826303,0.080211276,0.071289443,0.117599131,0.030228006,0.016927499,0.011969222,-0.033515199,0.032800962,0.067,-0.017540703,0.016053512,0.001670379,0.044256757,0.012487168,-0.004089143,-0.099131693,0.027307482,0.011741027,0.009064129,-0.065295462,-0.017895645,0.041250047,-0.088293651,-0.052015605,0.002193784,-0.070697674
-0.003560668,0.005135703,0.005820491,0.01840796,0.001202003,0.01238875,0.022069788,-0.008138352,0.032737193,0.006035533,0.027194861,0.011237959,0.010617761,0.01210084,0.023809524,0.008573099,0.000878735,0.049537289,0.048453199,0.05337998,0.007778469,0.015334572,0.151863323,0.007319974,0.019672504,0.036181818,-0.013608748,0.01493763,0.022927136,0.019712757,0.060483871,0.029763884,0.004552149,0.026414527,0.084265964,0.039281082,0.015528955,0.015455032,0.037158694,-0.153012048,0.02020202,0.040450928,0.021783068,0.040866224,0.012952799,0.113682526,-0.029379761,-0.111796982,0.029551259,-0.00950951
0.04535459,0.064804416,0.073518774,0.049926722,0.077436137,0.074477811,0.018675226,0.069470085,0.068682125,0.073456512,0.066708359,-0.004409949,0.046561605,0.019926935,0.054954822,0.075214116,0.035411179,0.049792531,0.088834248,0.08892222,0.05866008,0.021967963,0.283719317,0.035153057,0.200178432,0.037725917,0.062330623,0.061867947,0.041142155,0.019607843,0.028263625,0.061198127,0.157936825,0.08007436,0.093908116,0.005883402,0.040777318,0.043240064,0.062153603,-0.229492651,0.066701407,0.033779477,0.00989011,-0.001342282,0.006068487,0.220809932,-0.174887892,-0.186872587,0.007441531,-0.141485599
0.020444386,0.01440979,0.01151608,0.01405174,0.009657051,0.009098049,0.014036093,-0.003708203,-0.003982422,0.011524737,0.013875318,0.004961021,0.03718914,0.023119505,0.009898905,0.011798527,0.048332391,0.029397233,-0.000289519,-0.013577332,0.021289006,0.011195701,-0.015810811,-0.002808003,0.036145698,0.039736219,0.049165121,0.009954794,0.02034798,0.007313109,-0.030938001,-0.015063907,0.016344383,0.004748424,-0.051248844,0.004608295,0.007040098,0.015866518,0.00130451,-0.019692308,0.008060576,-0.010789149,0.025897715,0.008400538,0.052994399,0.010975787,-0.046195652,-0.024691358,0.006683081,-0.022366098
