QQQ,XLK,VGT,FDN,IYW,IXN,XT,IGV,QTEC,FTEC,FXL,KWEB,SKYY,HACK,RYT,IGM,ARKK,ROBO,SOXX,SMH,TDIV,CIBR,SOXL,PNQI,TECL,CQQQ,ARKW,XNTK,IPAY,EMQQ,PSCT,PSJ,ROM,XSD,PSI,IEUS,SOCL,XSW,PTF,SOXS,JHMT,ITEQ,PXQ,ISRA,IGN,USD,TECS,SSG,SCID,REW
0.002861106,0.005393743,0.005735639,0.007518797,0.005694761,0.006772224,0.00309119,0.003013423,0.007782101,0.006020642,0.003772664,0.00427838,0.009240243,0.002339181,0.003190591,0.005262711,0.012232012,0.007814761,0.009355813,0.007142857,0.00491573,-0.00071653,0.025974026,0.002591953,0.015384615,0.004833665,0.014343153,0.00599234,0.009937888,0.003392706,0.000868085,0.005339598,0.013609332,0.003278689,0.010200612,0.003465804,0.011738149,0.003982476,0.006842372,-0.027443428,0.00626822,0.0027833,0.003552883,0.006524103,0.004841313,0,-0.014104372,-0.031137332,0.004805783,-0.009721847
0.009596265,0.009656652,0.011751491,0.011966032,0.011412144,0.011179536,0.006548536,0.011380189,0.014628915,0.011399259,0.013873699,0.017324624,0.011288788,0.005056398,0.013453256,0.011736891,0.007354968,0.006299314,0.012745003,0.011662727,0.008385744,0.007722008,0.038244008,0.01686569,0.029411765,0.018958687,-0.005933525,0.014475422,0.009881099,0.019640744,0.016649377,0.010197578,0.023017037,0.016339869,0.015483002,0.006216901,0.004904061,0.012452265,0.008557765,-0.03960396,0.013449353,0.002379064,0.013861656,0.006330573,0.016327623,0.057817623,-0.030042918,-0.032513532,0.003909644,-0.02304336
-0.001113204,-0.00021254,0.000170809,-0.000254291,8.61326E-05,0.000562166,-0.002395714,-0.002250428,-0.001733542,0.001127078,-0.00114151,0.007258515,-0.000904434,-0.006578947,-0.001581966,-0.000333834,0.003264209,0.000754791,-0.001144056,0,-0.0003465,-0.004734537,-0.004150454,-0.000496368,0.001298701,0.007497917,0.005964814,-0.003860195,0,0.006437386,-0.00033456,-0.003577287,0.00044116,0.000602894,0.003977461,0.001910755,0.000217585,-0.004718481,-0.002495633,0.004639175,-0.000429302,0.003560127,-0.001316178,-0.001638887,0.000263366,-0.00860221,-0.000491642,0.001639923,0,-0.000139567
0.002314616,0.00212585,0.001707796,0.002034847,0.002497632,0.005056653,0.003935951,0.002165283,0.002964845,0.000844357,0.003425587,0.014689579,0.004228561,0.007012076,0.002673797,0.001753214,-1.43541E-05,0.010506567,0.008113009,0.006698863,0.002772964,0.004201611,0.025787966,0.004966145,0.005188067,0.017362183,0.003943389,0.004752711,0.000771386,0.016882208,0.004518072,0.000424231,0.003197001,0.004418558,0.005876527,0.011111492,0.021096747,0.001116478,-0.001000751,-0.025654182,0.006203685,-0.001576665,0.006724045,0.001075269,0.007372301,0.01202053,-0.006394491,-0.00351884,0.011250541,-0.004776661
-0.002565857,-0.003182011,-0.002727815,0,-0.003694158,-0.00307463,-0.00745128,-0.000360101,-0.004757179,-0.002812148,-0.002559708,0.009560229,-0.003608787,-0.00270793,-0.005728395,-0.002750229,0.001497629,-0.006067583,-0.006816891,-0.006654287,-0.003110957,-0.004184032,-0.023235145,0.002663645,-0.008817204,-0.007041471,-0.003519169,-0.005435873,0.005679513,0.007496993,-0.002165584,-0.001253165,-0.006263736,-0.017396521,-0.011270842,0.005873052,0.010869565,-0.000716273,-0.004007012,0.021590311,-0.006822632,-0.007106198,-0.005631846,-0.010741139,-0.005750131,-0.021497797,0.008415842,0.009563847,0,0.007324209
0.004287429,0.003617791,0.003761005,0.005838304,0.004052772,0.004953271,0.006356112,0.007384726,0.008386603,0.003666103,0.005132553,0.016910173,0.004226006,0.008145849,0.00645674,0.004345646,0.008313029,0.008719822,0.003813155,0.004050475,0.004160888,0.007506806,0.014428701,0.009015507,0.011499241,0.021555252,0.012067318,0.007211509,0.002823719,0.013065327,0.002838063,0.004486635,0.008048214,0.005087505,0.005490529,-0.001122839,0.012473118,0.005357325,0.006537591,-0.01185567,0,0.008190855,0,0.009207383,0.002628812,0.010714929,-0.010800196,0.00388646,0.01368849,0
0.00068306,-0.001060221,-0.000766414,0.000126183,-0.000429406,-0.004091881,-3.82554E-06,-0.002056142,0.005091521,-0.000561956,0.002837174,0.018757483,-0.002104111,-0.002693344,0.000493486,-0.000499251,0.003558398,0.00037037,0.004653371,0.004189294,-0.002762431,0.002128821,0.012813942,0.002857994,-0.004504505,0.008066239,0.004409482,0.002417127,-0.002345133,0.008730159,0.003475945,0.000986268,-0.003113283,0.007491395,0.009742489,0.00261241,-0.003394223,0,0.001751187,-0.014084507,0.003206221,0.000552138,0,0.005580181,0.001573152,0.004081292,0.003970223,-0.004839267,0,0
0.004266212,0.004882191,0.005709903,0.001135503,0.005412836,0.00784387,0.007268554,0.004210338,0.011471155,0.005622716,0.007637847,0.01906503,0.002408471,0.013503086,0.006905396,0.003996004,0,0.009292854,0.013611873,0.011279357,0.00682133,0.009858925,0.041497976,0.007366367,0.012712777,0.014678607,0.007267108,0.005167069,0.006636642,0.018095987,0.008943443,0.006304635,0.013491208,0.013062701,0.010949776,0.001206381,0.019177241,0.005171777,0.006725669,-0.041798942,0.011151911,0.004729996,0.015873528,0.007403709,0.017801047,0.029484343,-0.012669303,-0.027787426,0,-0.020328599
-0.005522515,-0.007393325,-0.005169053,-0.007939509,-0.004785507,-0.004076716,-0.004557539,-0.009188225,-0.003518212,-0.005311714,-0.007579952,-0.00435674,-0.006005198,0.006090598,-0.006717939,-0.005223881,0.007077398,-0.005539048,-0.006994311,-0.005805959,-0.005399457,0.003236246,-0.021379981,-0.006245283,-0.019361702,0.00349906,-0.005007411,-0.005140507,-0.003949324,-0.000606646,-0.008186734,-0.010229645,-0.010314875,-0.009323547,-0.005950841,0.000674132,-0.008364701,-0.006431459,-0.013123672,0.020982882,-0.006049092,-0.004315418,-0.002113198,-0.001685099,-0.00154321,-0.01499596,0.018839774,-0.006752412,0,0.007390563
0.001794105,-0.000425622,-0.001277683,-0.003175813,-0.001631461,-0.001023351,-0.004578405,-0.004231566,-0.001869159,-0.001686341,-0.00367874,-0.003346203,-0.00332935,-0.007567159,-0.003494624,-0.000916896,-0.007782466,-0.004426411,-0.000187829,-0.002151529,-0.003803596,-0.006451613,-0.000496524,-0.002770842,-0.001301801,-0.005724694,-0.009183509,-0.001377885,0.000490596,-0.007898919,-0.004806034,-0.009291289,-0.003620406,-0.007408891,-0.001493363,-0.003135624,-0.002952341,-0.009062327,-0.008283133,-0.000540833,-0.006092672,-0.006698188,-0.007688821,-0.006382979,-0.007212777,0.001006201,0.001474201,0.022265386,-0.007171833,0.008747178
